ticker,name,sector,cik
VRSN,Verisign,Information Technology,0001014473
VRTX,Vertex Pharmaceuticals,Health Care,0000875320
VTRS,Viatris,Health Care,0001792044
WAT,Waters Corporation,Health Care,0001000697
WST,West Pharmaceutical Services,Health Care,0000105770
WDC,Western Digital,Information Technology,0000106040
WDAY,"Workday, Inc.",Information Technology,0001327811
ZBRA,Zebra Technologies,Information Technology,0000877212
ZBH,Zimmer Biomet,Health Care,0001136869
ZTS,Zoetis,Health Care,0001555280
