accession_no,entity_name,cik,file_date,period_of_report,form_type,file_type_hint,source
0000950159-21-000192,Cigna Group,0001739940,2021-07-30,2021-07-26,8-K,,submissions
0000950159-21-000176,Cigna Group,0001739940,2021-05-28,2021-05-28,8-K,,submissions
0000950159-21-000142,Cigna Group,0001739940,2021-05-07,2021-05-07,8-K,,submissions
0000950159-21-000138,Cigna Group,0001739940,2021-05-03,2021-04-28,8-K,,submissions
0001140361-21-015041,Cigna Group,0001739940,2021-04-30,2021-04-29,8-K,,submissions
0000950159-21-000116,Cigna Group,0001739940,2021-03-08,2021-03-08,8-K,,submissions
0001140361-21-007207,Cigna Group,0001739940,2021-03-03,2021-03-01,8-K,,submissions
0000950159-21-000111,Cigna Group,0001739940,2021-02-26,2021-02-26,8-K,,submissions
0000950159-21-000014,Cigna Group,0001739940,2021-02-04,2021-02-04,8-K,,submissions
0000950159-21-000006,Cigna Group,0001739940,2021-01-12,2021-01-06,8-K,,submissions
0000950159-20-000286,Cigna Group,0001739940,2020-12-31,2020-12-31,8-K,,submissions
0000950159-20-000281,Cigna Group,0001739940,2020-12-28,2020-12-28,8-K,,submissions
0000950159-20-000278,Cigna Group,0001739940,2020-12-11,2020-12-08,8-K,,submissions
0000950159-20-000273,Cigna Group,0001739940,2020-12-10,2020-12-10,8-K,,submissions
0000950159-20-000270,Cigna Group,0001739940,2020-11-30,2020-11-30,8-K,,submissions
0000950159-20-000238,Cigna Group,0001739940,2020-11-05,2020-11-05,8-K,,submissions
0000950159-20-000231,Cigna Group,0001739940,2020-10-30,2020-10-26,8-K,,submissions
0000950159-20-000223,Cigna Group,0001739940,2020-09-09,2020-09-09,8-K,,submissions
0000950159-20-000211,Cigna Group,0001739940,2020-08-20,2020-08-20,8-K,,submissions
0000950159-20-000161,Cigna Group,0001739940,2020-07-30,2020-07-30,8-K,,submissions
0000950159-20-000142,Cigna Group,0001739940,2020-05-26,2020-05-26,8-K,,submissions
0000950159-20-000110,Cigna Group,0001739940,2020-04-30,2020-04-30,8-K,,submissions
0000950159-20-000099,Cigna Group,0001739940,2020-04-24,2020-04-22,8-K,,submissions
0000950159-20-000089,Cigna Group,0001739940,2020-04-03,2020-04-01,8-K,,submissions
0001140361-20-005865,Cigna Group,0001739940,2020-03-16,2020-03-16,8-K,,submissions
0001140361-20-004888,Cigna Group,0001739940,2020-03-05,2020-03-04,8-K,,submissions
0000950159-20-000057,Cigna Group,0001739940,2020-02-27,2020-02-19,8-K,,submissions
0001140361-20-003579,Cigna Group,0001739940,2020-02-19,2020-02-14,8-K,,submissions
0000950159-20-000034,Cigna Group,0001739940,2020-02-06,2020-02-06,8-K,,submissions
0000950159-20-000008,Cigna Group,0001739940,2020-01-13,2020-01-13,8-K,,submissions
0000950159-19-000321,Cigna Group,0001739940,2019-12-30,2019-12-30,8-K,,submissions
0000950159-19-000319,Cigna Group,0001739940,2019-12-27,2019-12-23,8-K,,submissions
0000950159-19-000295,Cigna Group,0001739940,2019-12-11,2019-12-04,8-K,,submissions
0000950159-19-000244,Cigna Group,0001739940,2019-11-21,2019-11-21,8-K,,submissions
0000950159-19-000242,Cigna Group,0001739940,2019-11-20,2019-11-20,8-K,,submissions
0000950159-19-000208,Cigna Group,0001739940,2019-10-31,2019-10-31,8-K,,submissions
0000950159-19-000204,Cigna Group,0001739940,2019-10-29,2019-10-23,8-K,,submissions
0000950159-19-000178,Cigna Group,0001739940,2019-10-11,2019-10-10,8-K,,submissions
0000950159-19-000157,Cigna Group,0001739940,2019-09-27,2019-09-24,8-K,,submissions
0000950159-19-000155,Cigna Group,0001739940,2019-09-26,2019-09-26,8-K,,submissions
0000950159-19-000137,Cigna Group,0001739940,2019-09-09,2019-09-06,8-K,,submissions
0000950159-19-000129,Cigna Group,0001739940,2019-08-28,2019-08-28,8-K,,submissions
0000950159-19-000114,Cigna Group,0001739940,2019-08-01,2019-08-01,8-K,,submissions
0000950159-19-000085,Cigna Group,0001739940,2019-05-31,2019-05-31,8-K,,submissions
0000950159-19-000073,Cigna Group,0001739940,2019-05-02,2019-05-02,8-K,,submissions
0000950159-19-000069,Cigna Group,0001739940,2019-04-29,2019-04-24,8-K,,submissions
0000950159-19-000031,Cigna Group,0001739940,2019-02-26,2019-02-26,8-K,,submissions
0000950159-19-000028,Cigna Group,0001739940,2019-02-01,2019-02-01,8-K,,submissions
0000950159-19-000026,Cigna Group,0001739940,2019-01-30,2019-01-30,8-K,,submissions
0000950159-19-000020,Cigna Group,0001739940,2019-01-23,2019-01-22,8-K,,submissions
0000950159-19-000007,Cigna Group,0001739940,2019-01-07,2019-01-07,8-K,,submissions
0001193125-23-291721,"CISCO SYSTEMS, INC.",0000858877,2023-12-08,2023-12-06,8-K,,submissions
0001193125-23-277891,"CISCO SYSTEMS, INC.",0000858877,2023-11-15,2023-11-15,8-K,,submissions
0000858877-23-000025,"CISCO SYSTEMS, INC.",0000858877,2023-10-10,2023-10-04,8-K,,submissions
0001193125-23-240975,"CISCO SYSTEMS, INC.",0000858877,2023-09-25,2023-09-21,8-K,,submissions
0001193125-23-239165,"CISCO SYSTEMS, INC.",0000858877,2023-09-21,2023-09-20,8-K,,submissions
0001193125-23-214316,"CISCO SYSTEMS, INC.",0000858877,2023-08-16,2023-08-16,8-K,,submissions
0000858877-23-000016,"CISCO SYSTEMS, INC.",0000858877,2023-07-19,2023-07-18,8-K,,submissions
0001193125-23-147021,"CISCO SYSTEMS, INC.",0000858877,2023-05-17,2023-05-17,8-K,,submissions
0000858877-23-000009,"CISCO SYSTEMS, INC.",0000858877,2023-03-10,2023-03-09,8-K,,submissions
0000858877-23-000006,"CISCO SYSTEMS, INC.",0000858877,2023-02-21,2023-02-21,8-K,,submissions
0001193125-23-040212,"CISCO SYSTEMS, INC.",0000858877,2023-02-15,2023-02-15,8-K,,submissions
0000858877-22-000029,"CISCO SYSTEMS, INC.",0000858877,2022-12-16,2022-12-12,8-K,,submissions
0000858877-22-000027,"CISCO SYSTEMS, INC.",0000858877,2022-12-09,2022-12-08,8-K,,submissions
0001628280-22-030151,"CISCO SYSTEMS, INC.",0000858877,2022-11-16,2022-11-15,8-K,,submissions
0001193125-22-286782,"CISCO SYSTEMS, INC.",0000858877,2022-11-16,2022-11-16,8-K,,submissions
0000858877-22-000018,"CISCO SYSTEMS, INC.",0000858877,2022-10-04,2022-09-29,8-K,,submissions
0000858877-22-000015,"CISCO SYSTEMS, INC.",0000858877,2022-09-15,2022-09-12,8-K,,submissions
0001193125-22-228572,"CISCO SYSTEMS, INC.",0000858877,2022-08-24,2022-08-24,8-K,,submissions
0001193125-22-223250,"CISCO SYSTEMS, INC.",0000858877,2022-08-17,2022-08-17,8-K,,submissions
0001193125-22-176552,"CISCO SYSTEMS, INC.",0000858877,2022-06-17,2022-06-16,8-K,,submissions
0001193125-22-154039,"CISCO SYSTEMS, INC.",0000858877,2022-05-18,2022-05-18,8-K,,submissions
0001193125-22-086807,"CISCO SYSTEMS, INC.",0000858877,2022-03-28,2022-03-24,8-K,,submissions
0001193125-22-044372,"CISCO SYSTEMS, INC.",0000858877,2022-02-16,2022-02-16,8-K,,submissions
0001193125-22-037227,"CISCO SYSTEMS, INC.",0000858877,2022-02-11,2022-02-10,8-K,,submissions
0001193125-22-023458,"CISCO SYSTEMS, INC.",0000858877,2022-01-31,2022-01-26,8-K,,submissions
0001193125-21-361182,"CISCO SYSTEMS, INC.",0000858877,2021-12-17,2021-12-15,8-K,,submissions
0001193125-21-356837,"CISCO SYSTEMS, INC.",0000858877,2021-12-14,2021-12-09,8-K,,submissions
0001193125-21-332467,"CISCO SYSTEMS, INC.",0000858877,2021-11-17,2021-11-17,8-K,,submissions
0001193125-21-284199,"CISCO SYSTEMS, INC.",0000858877,2021-09-27,2021-09-22,8-K,,submissions
0001193125-21-250360,"CISCO SYSTEMS, INC.",0000858877,2021-08-18,2021-08-18,8-K,,submissions
0001193125-21-203324,"CISCO SYSTEMS, INC.",0000858877,2021-06-29,2021-06-25,8-K,,submissions
0001193125-21-166614,"CISCO SYSTEMS, INC.",0000858877,2021-05-19,2021-05-19,8-K,,submissions
0001193125-21-162081,"CISCO SYSTEMS, INC.",0000858877,2021-05-14,2021-05-13,8-K,,submissions
0001193125-21-073328,"CISCO SYSTEMS, INC.",0000858877,2021-03-08,2021-03-04,8-K,,submissions
0001193125-21-056977,"CISCO SYSTEMS, INC.",0000858877,2021-02-25,2021-02-22,8-K,,submissions
0001193125-21-034339,"CISCO SYSTEMS, INC.",0000858877,2021-02-09,2021-02-09,8-K,,submissions
0001193125-21-004250,"CISCO SYSTEMS, INC.",0000858877,2021-01-07,2021-01-07,8-K,,submissions
0001193125-20-320092,"CISCO SYSTEMS, INC.",0000858877,2020-12-17,2020-12-11,8-K,,submissions
0001193125-20-315999,"CISCO SYSTEMS, INC.",0000858877,2020-12-11,2020-12-10,8-K,,submissions
0001193125-20-305352,"CISCO SYSTEMS, INC.",0000858877,2020-11-30,2020-11-27,8-K,,submissions
0001193125-20-293020,"CISCO SYSTEMS, INC.",0000858877,2020-11-13,2020-11-11,8-K,,submissions
0001193125-20-291658,"CISCO SYSTEMS, INC.",0000858877,2020-11-12,2020-11-12,8-K,,submissions
0001193125-20-267248,"CISCO SYSTEMS, INC.",0000858877,2020-10-09,2020-10-07,8-K,,submissions
0001193125-20-252356,"CISCO SYSTEMS, INC.",0000858877,2020-09-23,2020-09-18,8-K,,submissions
0001193125-20-217756,"CISCO SYSTEMS, INC.",0000858877,2020-08-12,2020-08-12,8-K,,submissions
0001193125-20-217658,"CISCO SYSTEMS, INC.",0000858877,2020-08-12,2020-08-12,8-K,,submissions
0001193125-20-175641,"CISCO SYSTEMS, INC.",0000858877,2020-06-22,2020-06-17,8-K,,submissions
0001193125-20-141598,"CISCO SYSTEMS, INC.",0000858877,2020-05-13,2020-05-13,8-K,,submissions
0001193125-20-072960,"CISCO SYSTEMS, INC.",0000858877,2020-03-13,2020-03-11,8-K,,submissions
0001193125-20-065138,"CISCO SYSTEMS, INC.",0000858877,2020-03-06,2020-03-04,8-K,,submissions
0001193125-20-033208,"CISCO SYSTEMS, INC.",0000858877,2020-02-12,2020-02-12,8-K,,submissions
0001193125-20-015453,"CISCO SYSTEMS, INC.",0000858877,2020-01-27,2020-01-24,8-K,,submissions
0001193125-19-322662,"CISCO SYSTEMS, INC.",0000858877,2019-12-23,2019-12-20,8-K,,submissions
0001193125-19-312796,"CISCO SYSTEMS, INC.",0000858877,2019-12-12,2019-12-06,8-K,,submissions
0001193125-19-311525,"CISCO SYSTEMS, INC.",0000858877,2019-12-11,2019-12-10,8-K,,submissions
0001193125-19-306229,"CISCO SYSTEMS, INC.",0000858877,2019-12-04,2019-11-28,8-K,,submissions
0001193125-19-291002,"CISCO SYSTEMS, INC.",0000858877,2019-11-13,2019-11-13,8-K,,submissions
0001193125-19-226917,"CISCO SYSTEMS, INC.",0000858877,2019-08-22,2019-08-19,8-K,,submissions
0001193125-19-221195,"CISCO SYSTEMS, INC.",0000858877,2019-08-14,2019-08-14,8-K,,submissions
0001193125-19-190942,"CISCO SYSTEMS, INC.",0000858877,2019-07-09,2019-07-08,8-K,,submissions
0001193125-19-175707,"CISCO SYSTEMS, INC.",0000858877,2019-06-18,2019-06-13,8-K,,submissions
0001193125-19-165092,"CISCO SYSTEMS, INC.",0000858877,2019-06-04,2019-05-30,8-K,,submissions
0001193125-19-154111,"CISCO SYSTEMS, INC.",0000858877,2019-05-22,2019-05-21,8-K,,submissions
0001193125-19-147994,"CISCO SYSTEMS, INC.",0000858877,2019-05-15,2019-05-15,8-K,,submissions
0001193125-19-067296,"CISCO SYSTEMS, INC.",0000858877,2019-03-07,2019-03-04,8-K,,submissions
0001193125-19-037964,"CISCO SYSTEMS, INC.",0000858877,2019-02-13,2019-02-13,8-K,,submissions
0001058290-23-000329,COGNIZANT TECHNOLOGY SOLUTIONS CORP,0001058290,2023-11-01,2023-11-01,8-K,,submissions
0001058290-23-000316,COGNIZANT TECHNOLOGY SOLUTIONS CORP,0001058290,2023-09-28,2023-09-28,8-K,,submissions
0001058290-23-000255,COGNIZANT TECHNOLOGY SOLUTIONS CORP,0001058290,2023-08-02,2023-07-27,8-K,,submissions
0001058290-23-000230,COGNIZANT TECHNOLOGY SOLUTIONS CORP,0001058290,2023-06-09,2023-06-06,8-K,,submissions
0001058290-23-000132,COGNIZANT TECHNOLOGY SOLUTIONS CORP,0001058290,2023-05-03,2023-05-03,8-K,,submissions
0001058290-23-000114,COGNIZANT TECHNOLOGY SOLUTIONS CORP,0001058290,2023-03-31,2023-03-31,8-K,,submissions
0001058290-23-000092,COGNIZANT TECHNOLOGY SOLUTIONS CORP,0001058290,2023-03-06,2023-03-06,8-K,,submissions
0001058290-23-000030,COGNIZANT TECHNOLOGY SOLUTIONS CORP,0001058290,2023-02-16,2023-02-13,8-K,,submissions
0001058290-23-000019,COGNIZANT TECHNOLOGY SOLUTIONS CORP,0001058290,2023-02-02,2023-01-27,8-K,,submissions
0001058290-23-000008,COGNIZANT TECHNOLOGY SOLUTIONS CORP,0001058290,2023-01-12,2023-01-09,8-K,,submissions
0001058290-22-000320,COGNIZANT TECHNOLOGY SOLUTIONS CORP,0001058290,2022-11-02,2022-11-02,8-K,,submissions
0001058290-22-000314,COGNIZANT TECHNOLOGY SOLUTIONS CORP,0001058290,2022-10-17,2022-10-17,8-K,,submissions
0001058290-22-000310,COGNIZANT TECHNOLOGY SOLUTIONS CORP,0001058290,2022-10-07,2022-10-06,8-K,,submissions
0001058290-22-000238,COGNIZANT TECHNOLOGY SOLUTIONS CORP,0001058290,2022-07-27,2022-07-27,8-K,,submissions
0001058290-22-000221,COGNIZANT TECHNOLOGY SOLUTIONS CORP,0001058290,2022-07-06,2022-06-29,8-K,,submissions
0001058290-22-000213,COGNIZANT TECHNOLOGY SOLUTIONS CORP,0001058290,2022-06-28,2022-06-28,8-K,,submissions
0001058290-22-000201,COGNIZANT TECHNOLOGY SOLUTIONS CORP,0001058290,2022-06-10,2022-06-07,8-K,,submissions
0001058290-22-000111,COGNIZANT TECHNOLOGY SOLUTIONS CORP,0001058290,2022-05-04,2022-05-04,8-K,,submissions
0001193125-22-062221,COGNIZANT TECHNOLOGY SOLUTIONS CORP,0001058290,2022-03-02,2022-03-01,8-K,,submissions
0001058290-22-000015,COGNIZANT TECHNOLOGY SOLUTIONS CORP,0001058290,2022-02-02,2022-02-02,8-K,,submissions
0001058290-21-000278,COGNIZANT TECHNOLOGY SOLUTIONS CORP,0001058290,2021-10-27,2021-10-27,8-K,,submissions
0001058290-21-000241,COGNIZANT TECHNOLOGY SOLUTIONS CORP,0001058290,2021-09-07,2021-09-07,8-K,,submissions
0001058290-21-000211,COGNIZANT TECHNOLOGY SOLUTIONS CORP,0001058290,2021-07-28,2021-07-28,8-K,,submissions
0001058290-21-000147,COGNIZANT TECHNOLOGY SOLUTIONS CORP,0001058290,2021-06-04,2021-05-28,8-K,,submissions
0001058290-21-000102,COGNIZANT TECHNOLOGY SOLUTIONS CORP,0001058290,2021-05-05,2021-05-05,8-K,,submissions
0001058290-21-000022,COGNIZANT TECHNOLOGY SOLUTIONS CORP,0001058290,2021-02-03,2021-02-03,8-K,,submissions
0001058290-21-000014,COGNIZANT TECHNOLOGY SOLUTIONS CORP,0001058290,2021-01-06,2021-01-04,8-K,,submissions
0001058290-20-000185,COGNIZANT TECHNOLOGY SOLUTIONS CORP,0001058290,2020-12-14,2020-12-10,8-K,,submissions
0001058290-20-000135,COGNIZANT TECHNOLOGY SOLUTIONS CORP,0001058290,2020-10-28,2020-10-28,8-K,,submissions
0001206774-20-002232,COGNIZANT TECHNOLOGY SOLUTIONS CORP,0001058290,2020-07-29,2020-07-17,8-K,,submissions
0001058290-20-000047,COGNIZANT TECHNOLOGY SOLUTIONS CORP,0001058290,2020-07-29,2020-07-29,8-K,,submissions
0001058290-20-000038,COGNIZANT TECHNOLOGY SOLUTIONS CORP,0001058290,2020-06-05,2020-06-02,8-K,,submissions
0001058290-20-000029,COGNIZANT TECHNOLOGY SOLUTIONS CORP,0001058290,2020-05-07,2020-05-07,8-K,,submissions
0001058290-20-000022,COGNIZANT TECHNOLOGY SOLUTIONS CORP,0001058290,2020-04-20,2020-04-18,8-K,,submissions
0001058290-20-000020,COGNIZANT TECHNOLOGY SOLUTIONS CORP,0001058290,2020-04-09,2020-04-09,8-K,,submissions
0001058290-20-000013,COGNIZANT TECHNOLOGY SOLUTIONS CORP,0001058290,2020-03-09,2020-03-05,8-K,,submissions
0001058290-20-000004,COGNIZANT TECHNOLOGY SOLUTIONS CORP,0001058290,2020-02-05,2020-02-02,8-K,,submissions
0001058290-19-000038,COGNIZANT TECHNOLOGY SOLUTIONS CORP,0001058290,2019-12-06,2019-12-02,8-K,,submissions
0001058290-19-000034,COGNIZANT TECHNOLOGY SOLUTIONS CORP,0001058290,2019-10-30,2019-10-30,8-K,,submissions
0001058290-19-000028,COGNIZANT TECHNOLOGY SOLUTIONS CORP,0001058290,2019-09-20,2019-09-16,8-K,,submissions
0001058290-19-000024,COGNIZANT TECHNOLOGY SOLUTIONS CORP,0001058290,2019-07-31,2019-07-31,8-K,,submissions
0001058290-19-000021,COGNIZANT TECHNOLOGY SOLUTIONS CORP,0001058290,2019-07-18,2019-07-16,8-K,,submissions
0001058290-19-000019,COGNIZANT TECHNOLOGY SOLUTIONS CORP,0001058290,2019-06-07,2019-06-04,8-K,,submissions
0001058290-19-000014,COGNIZANT TECHNOLOGY SOLUTIONS CORP,0001058290,2019-05-02,2019-05-02,8-K,,submissions
0001058290-19-000006,COGNIZANT TECHNOLOGY SOLUTIONS CORP,0001058290,2019-02-06,2019-02-01,8-K,,submissions
0001193125-23-294380,COHERENT CORP.,0000820318,2023-12-13,2023-12-13,8-K,,submissions
0001193125-23-288416,COHERENT CORP.,0000820318,2023-12-04,2023-12-04,8-K,,submissions
0001193125-23-276082,COHERENT CORP.,0000820318,2023-11-13,2023-11-09,8-K,,submissions
0001193125-23-271381,COHERENT CORP.,0000820318,2023-11-06,2023-11-06,8-K,,submissions
0001193125-23-253029,COHERENT CORP.,0000820318,2023-10-10,2023-10-10,8-K,,submissions
0001193125-23-239587,COHERENT CORP.,0000820318,2023-09-21,2023-09-19,8-K,,submissions
0001193125-23-237086,COHERENT CORP.,0000820318,2023-09-19,2023-09-18,8-K,,submissions
0001193125-23-235505,COHERENT CORP.,0000820318,2023-09-15,2023-09-13,8-K,,submissions
0001193125-23-226859,COHERENT CORP.,0000820318,2023-09-01,2023-08-31,8-K,,submissions
0001193125-23-213587,COHERENT CORP.,0000820318,2023-08-16,2023-08-15,8-K,,submissions
0001193125-23-180985,COHERENT CORP.,0000820318,2023-07-03,2023-07-03,8-K,,submissions
0001193125-23-179441,COHERENT CORP.,0000820318,2023-06-30,2023-06-30,8-K,,submissions
0001193125-23-155919,COHERENT CORP.,0000820318,2023-05-30,2023-05-23,8-K,,submissions
0001193125-23-139932,COHERENT CORP.,0000820318,2023-05-10,2023-05-10,8-K,,submissions
0001193125-23-049023,COHERENT CORP.,0000820318,2023-02-24,2023-02-23,8-K,,submissions
0001193125-23-045851,COHERENT CORP.,0000820318,2023-02-23,2023-02-23,8-K,,submissions
0001193125-23-027572,COHERENT CORP.,0000820318,2023-02-08,2023-02-08,8-K,,submissions
0001193125-23-027571,COHERENT CORP.,0000820318,2023-02-08,2023-02-07,8-K,,submissions
0001193125-22-288996,COHERENT CORP.,0000820318,2022-11-18,2022-11-16,8-K,,submissions
0001193125-22-280764,COHERENT CORP.,0000820318,2022-11-09,2022-11-09,8-K,,submissions
0001193125-22-241521,COHERENT CORP.,0000820318,2022-09-09,2022-09-09,8-K,,submissions
0001193125-22-240836,COHERENT CORP.,0000820318,2022-09-08,2022-09-08,8-K,,submissions
0001193125-22-235791,COHERENT CORP.,0000820318,2022-09-01,2022-08-31,8-K,,submissions
0001193125-22-228112,COHERENT CORP.,0000820318,2022-08-24,2022-08-24,8-K,,submissions
0001193125-22-227538,COHERENT CORP.,0000820318,2022-08-23,2022-08-23,8-K,,submissions
0001193125-22-186770,COHERENT CORP.,0000820318,2022-07-01,2022-07-01,8-K,,submissions
0001193125-22-183458,COHERENT CORP.,0000820318,2022-06-28,2022-06-28,8-K,,submissions
0001193125-22-158505,COHERENT CORP.,0000820318,2022-05-24,2022-05-20,8-K,,submissions
0001193125-22-145674,COHERENT CORP.,0000820318,2022-05-10,2022-05-10,8-K,,submissions
0001193125-22-137818,COHERENT CORP.,0000820318,2022-05-03,2022-05-02,8-K,,submissions
0001193125-22-083438,COHERENT CORP.,0000820318,2022-03-24,2022-03-24,8-K,,submissions
0001193125-22-077748,COHERENT CORP.,0000820318,2022-03-17,2022-03-15,8-K,,submissions
0001193125-22-067965,COHERENT CORP.,0000820318,2022-03-07,2022-03-06,8-K,,submissions
0001193125-22-046612,COHERENT CORP.,0000820318,2022-02-18,2022-02-17,8-K,,submissions
0001193125-22-032742,COHERENT CORP.,0000820318,2022-02-09,2022-02-09,8-K,,submissions
0001193125-22-031889,COHERENT CORP.,0000820318,2022-02-09,2022-02-09,8-K,,submissions
0001193125-21-353969,COHERENT CORP.,0000820318,2021-12-10,2021-12-10,8-K,,submissions
0001193125-21-346011,COHERENT CORP.,0000820318,2021-12-02,2021-12-02,8-K,,submissions
0001193125-21-342944,COHERENT CORP.,0000820318,2021-11-30,2021-11-30,8-K,,submissions
0001193125-21-339339,COHERENT CORP.,0000820318,2021-11-24,2021-11-18,8-K,,submissions
0001193125-21-323826,COHERENT CORP.,0000820318,2021-11-09,2021-11-09,8-K,,submissions
0001193125-21-268894,COHERENT CORP.,0000820318,2021-09-09,2021-09-09,8-K,,submissions
0001193125-21-256850,COHERENT CORP.,0000820318,2021-08-26,2021-08-25,8-K,,submissions
0001193125-21-246796,COHERENT CORP.,0000820318,2021-08-16,2021-08-13,8-K,,submissions
0001193125-21-241180,COHERENT CORP.,0000820318,2021-08-10,2021-08-10,8-K,,submissions
0001193125-21-237904,COHERENT CORP.,0000820318,2021-08-05,2021-08-05,8-K,,submissions
0001193125-21-220024,COHERENT CORP.,0000820318,2021-07-21,2021-07-20,8-K,,submissions
0001193125-21-198741,COHERENT CORP.,0000820318,2021-06-24,2021-06-24,8-K,,submissions
0001193125-21-193471,COHERENT CORP.,0000820318,2021-06-21,2021-06-15,8-K,,submissions
0001193125-21-186742,COHERENT CORP.,0000820318,2021-06-09,2021-06-08,8-K,,submissions
0001193125-21-170997,COHERENT CORP.,0000820318,2021-05-24,2021-05-21,8-K,,submissions
0001193125-21-167254,COHERENT CORP.,0000820318,2021-05-20,2021-05-20,8-K,,submissions
0001193125-21-160858,COHERENT CORP.,0000820318,2021-05-14,2021-05-13,8-K,,submissions
0001193125-21-159354,COHERENT CORP.,0000820318,2021-05-12,2021-05-12,8-K,,submissions
0001193125-21-152524,COHERENT CORP.,0000820318,2021-05-06,2021-05-06,8-K,,submissions
0001193125-21-152512,COHERENT CORP.,0000820318,2021-05-06,2021-05-06,8-K,,submissions
0001193125-21-102324,COHERENT CORP.,0000820318,2021-03-31,2021-03-30,8-K,,submissions
0001193125-21-095186,COHERENT CORP.,0000820318,2021-03-26,2021-03-25,8-K,,submissions
0001193125-21-085483,COHERENT CORP.,0000820318,2021-03-18,2021-03-18,8-K,,submissions
0001193125-21-082234,COHERENT CORP.,0000820318,2021-03-16,2021-03-16,8-K,,submissions
0001193125-21-079572,COHERENT CORP.,0000820318,2021-03-12,2021-03-12,8-K,,submissions
0001193125-21-073334,COHERENT CORP.,0000820318,2021-03-08,2021-03-08,8-K,,submissions
0001193125-21-062382,COHERENT CORP.,0000820318,2021-03-01,2021-02-26,8-K,,submissions
0001193125-21-040190,COHERENT CORP.,0000820318,2021-02-12,2021-02-12,8-K,,submissions
0001171843-21-000848,COHERENT CORP.,0000820318,2021-02-09,2021-02-09,8-K,,submissions
0001193125-20-290353,COHERENT CORP.,0000820318,2020-11-12,2020-11-09,8-K,,submissions
0001171843-20-007625,COHERENT CORP.,0000820318,2020-11-05,2020-11-05,8-K,,submissions
0001171843-20-006858,COHERENT CORP.,0000820318,2020-10-05,2020-10-05,8-K,,submissions
0001193125-20-247285,COHERENT CORP.,0000820318,2020-09-16,2020-09-16,8-K,,submissions
0001193125-20-231336,COHERENT CORP.,0000820318,2020-08-26,2020-08-26,8-K,,submissions
0001171843-20-005892,COHERENT CORP.,0000820318,2020-08-13,2020-08-13,8-K,,submissions
0001193125-20-188771,COHERENT CORP.,0000820318,2020-07-07,2020-07-01,8-K,,submissions
0001193125-20-183371,COHERENT CORP.,0000820318,2020-06-30,2020-06-30,8-K,,submissions
0001193125-20-182949,COHERENT CORP.,0000820318,2020-06-29,2020-06-29,8-K,,submissions
0001193125-20-182942,COHERENT CORP.,0000820318,2020-06-29,2020-06-29,8-K,,submissions
0001193125-20-182936,COHERENT CORP.,0000820318,2020-06-29,2020-06-29,8-K,,submissions
0001193125-20-156545,COHERENT CORP.,0000820318,2020-06-01,2020-05-29,8-K,,submissions
0001193125-20-155799,COHERENT CORP.,0000820318,2020-05-29,2020-05-29,8-K,,submissions
0001193125-20-145328,COHERENT CORP.,0000820318,2020-05-19,2020-05-18,8-K,,submissions
0001171843-20-003585,COHERENT CORP.,0000820318,2020-05-11,2020-05-11,8-K,,submissions
0001171843-20-000834,COHERENT CORP.,0000820318,2020-02-10,2020-02-10,8-K,,submissions
0001193125-20-019766,COHERENT CORP.,0000820318,2020-01-30,2020-01-29,8-K,,submissions
0001193125-19-326612,COHERENT CORP.,0000820318,2019-12-31,2019-12-23,8-K,,submissions
0001193125-19-304778,COHERENT CORP.,0000820318,2019-12-03,2019-12-03,8-K,,submissions
0001193125-19-290146,COHERENT CORP.,0000820318,2019-11-12,2019-11-12,8-K,,submissions
0001193125-19-289368,COHERENT CORP.,0000820318,2019-11-12,2019-11-12,8-K,,submissions
0001171843-19-007425,COHERENT CORP.,0000820318,2019-11-12,2019-11-12,8-K,,submissions
0001193125-19-272584,COHERENT CORP.,0000820318,2019-10-23,2019-10-23,8-K,,submissions
0001193125-19-253627,COHERENT CORP.,0000820318,2019-09-24,2019-09-24,8-K,,submissions
0001193125-19-253049,COHERENT CORP.,0000820318,2019-09-24,2019-09-24,8-K,,submissions
0001193125-19-250134,COHERENT CORP.,0000820318,2019-09-20,2019-09-20,8-K,,submissions
0001193125-19-248114,COHERENT CORP.,0000820318,2019-09-18,2019-09-18,8-K,,submissions
0001193125-19-232444,COHERENT CORP.,0000820318,2019-08-28,2019-08-22,8-K,,submissions
0001193125-19-226885,COHERENT CORP.,0000820318,2019-08-22,2019-08-16,8-K,,submissions
0001193125-19-222891,COHERENT CORP.,0000820318,2019-08-16,2019-08-14,8-K,,submissions
0001193125-19-222521,COHERENT CORP.,0000820318,2019-08-15,2019-08-15,8-K,,submissions
0001193125-19-219508,COHERENT CORP.,0000820318,2019-08-13,2019-08-13,8-K,,submissions
0001171843-19-005433,COHERENT CORP.,0000820318,2019-08-13,2019-08-13,8-K,,submissions
0001193125-19-209907,COHERENT CORP.,0000820318,2019-08-01,2019-08-01,8-K,,submissions
0001193125-19-202673,COHERENT CORP.,0000820318,2019-07-25,2019-07-25,8-K,,submissions
0001193125-19-191239,COHERENT CORP.,0000820318,2019-07-09,2019-07-05,8-K,,submissions
0001193125-19-189236,COHERENT CORP.,0000820318,2019-07-03,2019-06-27,8-K,,submissions
0001193125-19-162819,COHERENT CORP.,0000820318,2019-05-31,2019-05-24,8-K,,submissions
0001193125-19-153259,COHERENT CORP.,0000820318,2019-05-22,2019-05-21,8-K,,submissions
0001193125-19-152064,COHERENT CORP.,0000820318,2019-05-21,2019-05-20,8-K,,submissions
